f0,f1,f2,f3
2.092349546850676312e+00,9.572541542733813413e-01,-9.183334428240081948e+00,7.995522410416564529e-01
-5.608884807689670460e+00,3.229525877374569642e+00,-1.342827946791167015e+00,7.599786577347416028e+00
4.973785799968930554e+00,6.037244756249375399e+00,-2.888233249924675672e+00,1.278252190264364430e+00
6.362304675166474688e+00,1.068182762015478460e+01,9.923451146894297636e+00,4.980534435579308195e+00
4.281106015736098058e+00,4.259336887901212343e+00,-2.441624663353274105e+00,1.247136963891220640e+00
2.928548162207981198e-01,-8.471564277040080526e+00,7.412180267652821897e+00,6.623289273935070831e+00
-8.628577490181390530e+00,-5.693800864205622148e+00,-8.942192753451431386e+00,4.727901160004229553e+00
8.533028733333711813e-01,-9.190382242776882649e+00,2.119844070486943899e+00,8.264848296857364218e+00
5.415013687214043081e+00,8.739753777024338532e+00,8.981033895087627172e+00,6.531538112653171524e+00
6.937617609139834940e+00,-4.980787740467067515e+00,-5.018017560151333711e+00,6.517413219485979070e+00
-3.983381357110014065e+00,8.601206256247320159e-01,-7.338407157741431597e+00,2.008205037751997324e+00
6.425694734964758403e+00,-5.939990932365214249e+00,-5.075404637636393268e+00,5.332554164582036016e+00
1.437798059370521075e+00,-9.928652080344726016e+00,1.697258419724232859e+00,7.839954759355679315e+00
9.879482428097408064e-01,-1.064039199315460316e+01,3.336495031006319500e+00,8.131585930638525639e+00
-2.940401868472422020e+00,-3.123372163864921447e-01,-7.543480690627630381e+00,1.920106653809257935e+00
