f0,f1,f2,f3,label
5.483269247436577842e+00,-7.139612080218953771e+00,4.580039732001866426e+00,3.782174708741520952e+00,8.000000000000000000e+00
-3.129733467994616269e+00,1.436712723028826799e+00,-8.258959593413562672e+00,-2.420478456967437797e+00,5.000000000000000000e+00
1.464131449013836295e-01,-9.259921307246807842e+00,5.434477481984872682e+00,5.678661425875462854e+00,4.000000000000000000e+00
9.597332133781591779e+00,2.222566882699299917e+00,-2.549355916680045908e+00,5.949754501148587948e+00,6.000000000000000000e+00
2.744932079790273427e+00,3.564349427096909384e+00,-3.252170484173635856e+00,6.895288106912517145e-01,3.000000000000000000e+00
6.178200856870043722e+00,-6.427361302881477556e+00,4.729343901389793103e+00,5.014604617867339797e+00,8.000000000000000000e+00
2.270265422745739725e-01,-1.028182590581302946e+01,3.892940614497207186e+00,7.362119641783035462e+00,4.000000000000000000e+00
5.291490899650028723e+00,-6.653526367852951928e+00,4.181270546518804032e+00,4.065459925315503931e+00,8.000000000000000000e+00
-6.350916827363622730e+00,1.703110844655098877e+00,-9.607740218794544873e-01,4.691120891566353812e+00,0.000000000000000000e+00
9.021390988418806600e+00,3.847497141807792786e+00,-2.431592717728149999e+00,5.515905623561827120e+00,6.000000000000000000e+00
6.758372408902122430e+00,-6.958348015011051046e+00,3.726279613130956125e+00,4.036106433207590882e+00,8.000000000000000000e+00
-5.388233495499282988e+00,9.619506699392490034e+00,-1.654958006311244345e+00,7.768329607213079413e+00,9.000000000000000000e+00
6.388072957478038383e+00,-8.556068752556289070e+00,3.895591904823183960e+00,2.977709939514143755e+00,8.000000000000000000e+00
5.367742378970092432e+00,-6.637292656550808800e+00,2.844341351747408986e+00,4.138032241832310554e+00,8.000000000000000000e+00
-7.575855382593499332e-02,-8.962475039165045843e+00,5.394994373138723986e+00,8.291915361695632924e+00,4.000000000000000000e+00
1.023241278895117112e+01,7.324049555806360523e+00,-3.028473453945295990e+00,-2.512409153242957105e-01,2.000000000000000000e+00
