f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,label
-9.119075555795022048e-01,1.920050997578525820e+00,8.100341366300076729e+00,2.926614451327774979e+00,3.269001995800554283e+00,-7.916998789114717994e+00,5.415082159132227346e+00,7.161758029295942407e+00,2.739553052799907018e+00,-2.225241067826654096e+00,-7.018774571293316278e+00,1.574294008265993750e+00,-7.869702819781219105e-01,9.397889358534200710e+00,-7.660337438290973910e-01,5.851633901289877704e-01,5.000000000000000000e+00
1.199157077918816983e+00,6.070970781932376603e+00,-7.930422159815159411e+00,4.041115106851224326e+00,4.875592343158588804e+00,4.380738596566540188e+00,6.593559987880662554e+00,1.190532280541864329e+00,9.152457131891106101e+00,-8.345069946998343369e+00,-9.804181167375421779e+00,1.735050317143974619e+00,-6.912242626505248566e+00,9.107623884965784455e+00,-3.723233110039172900e+00,-6.593448120696749015e+00,6.000000000000000000e+00
-2.772512085090275136e+00,-8.336714001334593505e+00,-1.409161498081352715e-01,1.006173210568572252e+01,-6.740975675390306066e+00,-8.763095817379124242e+00,2.699503954680794404e+00,6.285221007153636297e-01,1.988737535268192413e-02,-7.906947079976559323e+00,-6.632786768740041694e+00,7.737984397616259891e+00,1.208791629706553739e-01,2.083221619386597112e+00,-9.573634170457108183e+00,-4.337150247051242857e+00,4.000000000000000000e+00
4.802074770983881358e+00,-7.078257431667849708e+00,4.430339538241566011e+00,2.660220920943871192e+00,-5.813785404061753148e+00,7.383436348033992402e+00,-9.837110064288262512e-01,9.046761144086843842e+00,-9.528715961722317829e+00,-7.413578126294396498e+00,-8.339082524924101847e+00,3.944063827813758305e+00,1.927270218712302086e+00,-8.490348166675121266e-01,-9.175722111664686764e+00,1.417313815195844429e+00,2.000000000000000000e+00
1.333440152803765821e+00,-8.734137602608786466e+00,4.675312879529768040e+00,6.942623492378316996e+00,-3.164141430987295056e+00,2.950287782713031604e+00,-7.883984944456157606e+00,-3.892045571412074967e+00,7.309670422469407569e+00,3.871352478577636536e+00,-2.457542951406844534e+00,5.538852904069812233e+00,-4.064387596055235363e+00,8.563704533363581950e-01,7.467297629969706030e+00,-8.118218211468650747e-01,1.000000000000000000e+00
-2.598131648889414613e+00,3.605073840708136856e+00,8.278207773568301064e+00,2.935989476677069998e+00,3.516546474689609347e+00,-6.019032272954581764e+00,5.991176519919156007e+00,6.171439001813940450e+00,2.825698903127193962e+00,7.263692428494339381e-02,-5.491830815108883712e+00,1.322455611819324250e+00,1.265091311451164824e+00,7.298259731262850991e+00,4.543012293191219797e-01,5.703803456993048471e-01,5.000000000000000000e+00
-9.894555643916069343e+00,-9.447402059180186384e+00,-3.243928424758464768e+00,2.386667636020675776e+00,7.038439611062827339e+00,-5.007807394257475231e+00,-7.365734658288388026e+00,-6.007699737339805779e+00,9.165931889188922099e+00,-5.566218940173991214e+00,-2.989697866977857110e+00,3.238067901850216757e+00,-8.362347054415360859e+00,9.046569489864635827e+00,1.006753721931566048e+01,2.831167959478485763e+00,8.000000000000000000e+00
-2.373705525531344396e+00,-9.060316184385486693e+00,-1.528117177522156922e-01,9.850259497590590385e+00,-7.254958954553995198e+00,-8.554208264750220891e+00,5.452317087873563395e+00,1.832273428423436989e+00,-1.068320120972748644e+00,-7.240827079813794143e+00,-5.468266231169809366e+00,8.358575379393272442e+00,-1.993435037286706013e+00,1.305316578272028405e+00,-1.048971575364494768e+01,-3.672561561901817928e+00,4.000000000000000000e+00
2.144798002429337380e+00,-9.407020263871149979e+00,5.074396774098526741e+00,7.570092823058671705e+00,-2.518263179882028968e+00,1.613756441629397909e+00,-8.591962054346700128e+00,-3.232514368332714216e+00,8.922340314652846160e+00,3.299957602655274602e+00,-2.967547293988389789e+00,5.484720566709349043e+00,-4.153340042240742491e+00,1.313582904968446874e+00,8.256658052740867504e+00,-2.913405627184072699e+00,1.000000000000000000e+00
-1.515075176558445813e-01,-8.001878085638916005e+00,6.456014309336911339e+00,7.846429009260890375e+00,-3.368463920049892035e+00,4.271298565364912037e+00,-9.526502208189304710e+00,-2.341074721647665946e+00,8.584540423010313503e+00,3.420460050395799367e+00,-2.468176642362075235e+00,6.600249563108386397e+00,-3.907011025787727299e+00,3.701352418098187158e-01,7.034540677261907682e+00,-1.734366369506885608e+00,1.000000000000000000e+00
