f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,label
-5.031369806755847662e+00,3.503303803075906941e+00,8.036804414933270024e+00,7.730309242610199583e+00,8.705037060417170736e+00,5.692081836503051662e+00,8.180409570852532619e-01,-4.525819581953048898e-01,6.740536505938703016e+00,8.834704823497101955e+00,2.875167018505311756e+00,-2.992272074542469351e+00,-1.709821326861901580e+00,7.107529293338768817e+00,-5.937219239242589985e+00,4.204549111622231550e+00,1.000000000000000000e+01
-5.075034782641386855e+00,3.155475514818084193e+00,-5.753922498976010713e-01,6.118487444986781654e+00,5.559476408448202456e+00,-3.952985617415252229e+00,-5.849955059968567461e+00,6.109364809318567069e+00,9.420978723182262371e+00,7.216933154352648039e+00,-2.843831319483946629e+00,8.599934654925518451e-01,3.534299413668713807e+00,4.892341736794933560e+00,-2.152965453665702800e+00,3.014491118691539073e-01,0.000000000000000000e+00
-3.842502609079808895e+00,5.737833636039661123e+00,6.677040129995183371e+00,5.063905157552812675e+00,3.069824333948656836e+00,-1.189383835349335783e+00,7.088845029646217988e+00,5.372245460537868667e+00,-2.535405766327880173e+00,-8.727184371770915661e+00,-1.998086298049897458e+00,3.876761645804378986e+00,-9.458012512659828008e-01,-3.703263312474310620e+00,2.796073903161199414e+00,-6.665055948421277243e+00,1.100000000000000000e+01
2.044607878243420718e+00,-1.040602733572680272e+01,5.596605520975861836e+00,6.659913439341918817e+00,-2.210794267250707268e+00,4.808431687841632218e+00,-7.968879246924340798e+00,-9.472442577860125112e-01,9.500971203605184101e+00,2.498978211660638493e+00,-3.639144835315286208e+00,6.982806859727594961e+00,-3.205749786892618580e+00,1.174817819705361144e+00,6.275460064152353468e+00,-6.849731421908560325e-01,1.000000000000000000e+00
-8.858587713279019837e+00,-4.279287945212797872e+00,5.572413790681432388e+00,-6.245696091189942400e+00,5.616139652928620052e-04,-4.581625520186480394e+00,9.768968000142685071e+00,3.225555006779185607e+00,-5.902889008769975909e+00,-8.219229115441748945e+00,5.335250238773167730e+00,5.259729582109196500e+00,6.898729598253503070e+00,8.098210735123979376e+00,4.057869440223495161e+00,2.451486164283862124e+00,9.000000000000000000e+00
-7.445519508607940651e+00,1.554114035463804999e+00,-2.044170416272451440e+00,3.886526392238054850e+00,6.841761928669298776e+00,-5.467586909286620056e+00,-4.319890394259954469e+00,6.828614577169970445e+00,7.893878031039738730e+00,7.140747994406883237e+00,-2.994731679143260994e+00,1.888041747318983665e-01,4.958636537407444145e+00,4.707424893108587582e+00,-3.107926706964409647e+00,2.454942874240503059e+00,0.000000000000000000e+00
-3.203736795198373954e+00,1.538008445955728387e+00,-3.060691133473524950e+00,-5.894308448594853367e+00,-5.411400467304738449e+00,-1.179622830207370576e+00,-7.741163260922574452e+00,2.849973747754818376e+00,4.420470896349497636e+00,1.004539281771144843e+01,-2.917415814746851410e+00,-4.127321591945604773e+00,-3.594983469422266431e+00,6.313060992339869060e+00,8.534351894454344389e+00,-7.621362873582673281e-01,1.400000000000000000e+01
-1.498816405248136974e+00,1.815927276115136157e+00,6.990012784612916974e+00,2.209735211689149104e+00,4.611471125927416814e+00,-6.577780744345028907e+00,5.813293242077683054e+00,6.923459536056006947e+00,2.870361437764746615e+00,-1.065080820086755642e+00,-6.372858151662827098e+00,1.443479206623056177e+00,-1.035226654322415563e+00,9.689498870760081317e+00,-1.107499217060630148e+00,-8.101990866641588518e-01,5.000000000000000000e+00
-6.572033951055712642e+00,4.829272005210984098e+00,-7.752182973085258944e+00,-2.287631520061335078e+00,2.038685935618566702e+00,-7.377777182004443546e+00,6.087828170714824516e+00,8.289894681421019484e+00,9.373527262842983987e+00,7.892149930914125200e+00,1.461100048516966288e+00,8.709801871535320927e+00,4.624918122300397449e+00,4.029222479902557552e+00,-9.107828890774801067e+00,-7.969831080847784577e-01,1.200000000000000000e+01
-3.593915333083347541e+00,-8.668143123897739111e-01,-7.025807102847866581e+00,3.057205308851517422e+00,6.246293609549963266e-01,-9.576440510745410251e+00,1.600700645462382665e+00,8.371248749457702587e+00,5.620993349967533526e+00,1.041823811010423029e+01,9.534741648958380722e+00,4.460447306804434575e+00,-4.897976156395225544e+00,2.388056204269081384e+00,-2.359362726542041599e+00,-7.542570890491306912e+00,3.000000000000000000e+00
