f0,f1,f2,f3,label
4.410211827237753290e+00,4.144806198528805830e+00,-1.660454810060942199e+00,4.189277394802504162e-01,3.000000000000000000e+00
1.019880915512424480e+01,7.558891011353674472e+00,-2.564017145463324265e+00,8.972217217306552306e-02,2.000000000000000000e+00
6.729805750859680025e+00,-3.490773984014148290e+00,-6.186276125816959848e+00,6.856421510937154906e+00,1.000000000000000000e+00
3.318573432528254319e+00,4.142423371041318525e+00,-1.260683613115132218e+00,1.949008689295427477e+00,3.000000000000000000e+00
3.119836594764635596e-01,-9.024612141645302898e+00,5.753410647165928538e+00,6.383665004780734620e+00,4.000000000000000000e+00
8.399277362233643629e+00,7.560121973070475399e+00,-2.961293091421626222e+00,-2.872798310121913445e-01,2.000000000000000000e+00
-1.065843550150729069e-01,-1.082215120100454975e+01,5.175110801190974996e+00,8.020370451263040934e+00,4.000000000000000000e+00
3.520735660115696941e-01,-1.002895965548199442e+01,3.101178996194998927e+00,6.976210868162581846e+00,4.000000000000000000e+00
3.939291985488176273e+00,4.120504747318981309e+00,-2.510372347460117837e+00,1.259512853847472025e+00,3.000000000000000000e+00
-5.086966385622115894e-03,-1.067203344203728044e+01,6.197806623410261118e+00,6.087397929381065609e+00,4.000000000000000000e+00
5.497413148971337371e+00,-4.089995074351381987e+00,-4.197750450483581197e+00,7.722070531775522717e+00,1.000000000000000000e+00
5.342433946411166978e+00,-4.978914866495058433e+00,-4.537773262546927810e+00,5.719465902087396358e+00,1.000000000000000000e+00
5.059824194537436703e+00,-3.491449675960264010e+00,-5.238639263811474933e+00,5.391499120198324668e+00,1.000000000000000000e+00
6.211363474669441942e+00,-4.542851546103958249e+00,-4.317354656299239757e+00,6.060656793279106225e+00,1.000000000000000000e+00
6.377009629609070807e+00,-5.117670708181050188e+00,-5.059269125257467081e+00,5.266672524483926310e+00,1.000000000000000000e+00
5.307552179569562156e+00,-4.881975554496174041e+00,-4.730880050809129322e+00,6.289730689487316617e+00,1.000000000000000000e+00
5.207320927336684058e+00,-3.847163363823856930e+00,-4.869600150373138092e+00,6.584325808778153544e+00,1.000000000000000000e+00
6.470932260116849299e+00,-3.739037805891162858e+00,-3.570998466361825052e+00,4.540768274907803104e+00,1.000000000000000000e+00
5.188676886563143853e+00,-5.407284742286153190e+00,-2.707903252102442870e+00,5.798380784845677205e+00,1.000000000000000000e+00
6.497330455222403600e+00,-2.938674279030222714e+00,-4.229106299510616118e+00,5.645714238506862159e+00,1.000000000000000000e+00
8.234486866061510923e+00,6.868974583959459146e+00,-3.800334100396186798e+00,4.699156919585847914e-01,2.000000000000000000e+00
3.852819171193027081e+00,3.908891808626779429e+00,-3.405850115785402643e+00,1.472076143523581182e+00,3.000000000000000000e+00
8.870983519724850552e+00,7.642768437837054840e+00,-3.041940321590283602e+00,-4.742446931297745194e-01,2.000000000000000000e+00
