f0,f1,f2,f3
1.790639424287652437e+00,7.736444539432276724e-01,-9.116696709924514863e+00,1.223933499978939743e+00
-5.809487693289894672e+00,5.584644897294538168e+00,-1.273706613774052032e+00,7.014336775325309858e+00
9.082316784295834111e+00,7.472471884241635109e+00,-2.730789212808767186e+00,1.064789168172581846e-01
5.407742705395864213e+00,1.041064935931249558e+01,9.251623931444283855e+00,5.770600320287300633e+00
6.076190061795406550e+00,3.640321962424264868e+00,-2.319392019415113637e+00,3.480770576820708673e+00
-3.703035928900758833e+00,1.445418586756233914e+00,7.369119902566223068e+00,-1.250408348561168115e+00
-8.794320312512189375e+00,-6.200451755784471608e+00,-9.018964467251072037e+00,3.360563805774509305e+00
1.324739220293928099e+00,-9.703460351305196241e+00,2.509534356590026327e+00,8.222773317208945443e+00
5.916665048056382936e+00,9.072366134951883154e+00,8.894310960367773689e+00,6.016611126114033148e+00
5.708077716017264436e+00,-4.337332844488911654e+00,-4.406459915894457069e+00,6.309404525520783125e+00
-2.704172650101379194e+00,2.571707184095838095e+00,-8.487459282280262585e+00,-2.677157786874677203e+00
5.372170444572962111e+00,-4.971725361686466726e+00,-4.339108664973698737e+00,5.336469182382575838e+00
6.168694260982867661e+00,-6.975204343056917722e+00,4.065830790594429089e+00,4.107442485795041343e+00
1.905598207005471112e-01,-9.584378303215828510e+00,5.502495843376635776e+00,7.639287399949845181e+00
-3.500273550654458887e+00,1.531923231000938412e-01,-7.889326240832479797e+00,2.020597500266782642e+00
