f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
-4.407930579015928885e+00,-3.426677841782993283e+00,-5.387670422910919577e-01,2.465071802209435781e+00,1.148231144844926943e+00,-1.948166639273668510e+00,-6.884745705755188183e+00,-3.170329036757011387e-01,8.254057269139790876e+00,3.267985184777085106e+00,-2.729573972940491977e+00,7.843032635683648834e-01,-3.107912333541429373e+00,5.022517462460288407e+00,5.546199188571667271e+00,-4.962079475006409002e-02
-5.963852220380165825e+00,4.001618855963311461e+00,8.958115207867036744e+00,7.738812835916341726e+00,9.905173036676050202e+00,6.490921186035965462e+00,9.599315390288449823e-01,-7.874855943785199486e-01,7.853135100452501405e+00,9.503441508903497592e+00,1.955601926240468691e+00,-2.616470227511944913e+00,-3.600014386782237175e+00,7.245834710435800297e+00,-5.859487294741840380e+00,4.624021812007473642e+00
-1.227165077663968651e+00,2.243219199284150811e+00,8.401564443391411174e+00,2.582444536980677885e+00,4.023312377594518985e+00,-7.129213148200782335e+00,4.933148051854217897e+00,6.597708215503006457e+00,2.646430777594400485e+00,-1.290752633543520878e+00,-6.985968699615836996e+00,1.505981860293794883e+00,4.715531392383673914e-01,9.063300832148822650e+00,-3.248868000855999472e-01,1.063582279501820160e-01
6.347836922157190642e-01,6.372465401963836484e+00,-8.829381304152189358e+00,3.362136488222940756e+00,5.458101330284377717e+00,4.274141415183793313e+00,5.888114814520523765e+00,1.065251826203524210e+00,9.276246927765260608e+00,-7.036416856369789308e+00,-9.533549497942429340e+00,2.001029667420580083e+00,-7.689496011931433728e+00,9.198260441475703431e+00,-3.555214957515689722e+00,-5.979845118805143578e+00
6.219210762455432473e+00,-6.702120292834262472e+00,4.112948516626635964e+00,4.332872052407673813e+00,-5.429109125577945782e+00,8.735472861216527107e+00,-7.421151791679538867e-01,7.604572666116704127e+00,-8.882548233999139953e+00,-6.099767480991957314e+00,-9.186352208312877465e+00,3.158259492624968079e+00,1.875358563753009244e+00,1.036025279662450949e+00,-9.423971717055223962e+00,1.025929932129889366e+00
-4.928025703656051526e-01,8.954378268178148303e+00,7.480824605834790475e+00,-5.812220697125917823e+00,-2.598206891910844085e+00,-6.203549325004552806e+00,7.878530998206406011e+00,4.257299621519836208e+00,4.696959561821866913e+00,8.237058767408917959e+00,5.764773463176364743e+00,2.179980738346641633e+00,-3.654643852660392156e+00,-6.750084227752726207e+00,-3.229556624702340617e+00,3.153269225178529478e+00
-7.365690570953802307e-01,7.875221684876804851e+00,7.588799437954854454e+00,-4.906364107224337801e+00,-3.158448783203652521e+00,-6.241874366835332921e+00,8.521131532196589475e+00,4.349142762521367445e+00,4.524964233818558057e+00,7.909642141914349445e+00,5.718133795130404096e+00,1.937351918609383050e+00,-4.772106607276000112e+00,-7.238340119941911510e+00,-3.140947898274845773e+00,3.123086672585350332e+00
-8.339100057410771427e+00,-3.271860747475912046e+00,4.494689186916560608e+00,-7.296761849153272195e+00,1.068992375289858687e+00,-4.817043187745633226e+00,9.371936352416820881e+00,3.315125116103305292e+00,-4.627716219672832310e+00,-7.488422647365375440e+00,5.213335349228939819e+00,6.010352340135282745e+00,5.162155994924641611e+00,8.279023190562128320e+00,2.888833306302403425e+00,1.597246437256639950e+00
-8.123764945028163709e+00,-3.413758303330501676e+00,4.610938007676711692e+00,-6.891907612551543494e+00,1.044001687654965149e+00,-4.301449548570833947e+00,9.383512625740062063e+00,3.576783289621530137e+00,-5.331934150033934117e+00,-8.241039577572616182e+00,5.725241081676746724e+00,5.396405858596649452e+00,5.483389319383522142e+00,8.228344072990372737e+00,3.362131352982170807e+00,1.061406837026046102e+00
-6.459419279454138518e+00,4.596925748192760786e+00,-7.415957092541021645e+00,-2.666285326681198331e+00,2.218406258125809938e+00,-7.909763658611028703e+00,6.187593764467544943e+00,9.041189600577595797e+00,9.598017368583782627e+00,7.701586180321293718e+00,2.414475789164343134e+00,8.705045752451809449e+00,4.466622895259215298e+00,4.308673552528497375e+00,-9.309557336839830555e+00,-1.184615302968961004e+00
-3.504457122198182173e+00,1.438344321598387654e-01,-7.623561468732416024e+00,2.276862155468510895e+00,1.226217201608517993e+00,-9.849046280570345147e+00,2.375521673901515918e+00,8.195240950126388313e+00,5.815095887580568501e+00,9.856374193005690287e+00,9.442113606421607130e+00,5.785609451570488559e+00,-4.451098887065314536e+00,2.513650582198907024e+00,-4.274503945311793895e-01,-6.165514632613183998e+00
-1.491310347508496115e+00,8.372819214583332226e+00,7.975352910975335163e+00,-4.575338664923167542e+00,-3.204725766031740530e+00,-6.882039125402555690e+00,7.820234729228383586e+00,3.550704850457441442e+00,4.477339434698712317e+00,8.142571012414993703e+00,5.426919620226587249e+00,1.784130621994124866e+00,-3.641360844261458674e+00,-6.928522368159748979e+00,-3.458849031864858148e+00,2.782702975727874950e+00
-3.540942925127767538e+00,1.439448262045184279e+00,-1.258732213362226071e+00,4.602310011730474493e+00,1.358085805911531718e+00,1.567999077388179563e+00,4.805500353491495069e+00,9.158915242661407330e-01,-1.264869083059047661e+00,-5.619845419512461859e+00,-1.542058797232257694e+00,7.149910017510457294e+00,-1.422800752745483344e+00,-6.459479679009774600e+00,5.601330709944413400e+00,-1.175960622375776810e-01
-2.240594772639566301e+00,-8.836642259140356614e+00,-1.000190949420540099e+00,9.683984631090471140e+00,-7.539066107365440139e+00,-7.709970387918684054e+00,4.693093637724436995e+00,1.812176588881379224e+00,-4.419585209560157324e-01,-7.864058724290709179e+00,-5.435614280392743858e+00,7.974948990612536370e+00,-1.541308620144157482e+00,6.810356467010003634e-01,-9.778286742527262376e+00,-4.020170655121866332e+00
6.086323210605964817e+00,-7.126976310003694692e+00,3.912124120168429364e+00,3.931301310501440049e+00,-5.619920026703384863e+00,8.366676402996759521e+00,-1.487810729622776051e+00,8.850272193377488605e+00,-8.573801194586220475e+00,-6.201042810924128901e+00,-8.977920135012752212e+00,3.362255531711013212e+00,1.556275118679186109e+00,6.073371514264684912e-01,-9.166551153808111252e+00,1.426314301288665209e+00
